time,rr
332.9921875,1.3046875
334,1.0078125
334.765625,0.765625
335.3203125,0.5546875
336.5078125,1.1875
336.8984375,0.390625
337.8046875,0.90625
338.9453125,1.140625
339.78125,0.8359375
340.4375,0.65625
341.2265625,0.7890625
341.96875,0.7421875
342.59375,0.625
342.875,0.28125
343.859375,0.984375
345.1015625,1.2421875
346.3671875,1.265625
347.1875,0.8203125
347.828125,0.640625
348.5703125,0.7421875
349.53125,0.9609375
349.8203125,0.2890625
351.0625,1.2421875
352.203125,1.140625
352.984375,0.78125
353.390625,0.40625
354.59375,1.203125
355.7578125,1.1640625
356.03125,0.2734375
357.0078125,0.9765625
357.7578125,0.75
359.171875,1.4140625
360.421875,1.25
361.65625,1.234375
362.015625,0.359375
362.4140625,0.3984375
363.84375,1.4296875
365.09375,1.25
366.375,1.28125
367.078125,0.703125
368.5234375,1.4453125
369.7890625,1.265625
370.984375,1.1953125
371.8125,0.828125
372.859375,1.046875
373.25,0.390625
374.4765625,1.2265625
375.734375,1.2578125
375.984375,0.25
376.578125,0.59375
377.9453125,1.3671875
379.1484375,1.203125
380.3828125,1.234375
381.09375,0.7109375
382.46875,1.375
383.71875,1.25
384.9375,1.21875
386.2265625,1.2890625
387.2421875,1.015625
388.6640625,1.421875
389.921875,1.2578125
391.1875,1.265625
391.8984375,0.7109375
392.8359375,0.9375
393.421875,0.5859375
393.6953125,0.2734375
394.3125,0.6171875
394.6015625,0.2890625
395.3203125,0.71875
395.8671875,0.546875
396.859375,0.9921875
397.828125,0.96875
398.2109375,0.3828125
399,0.7890625
399.4765625,0.4765625
399.921875,0.4453125
400.8984375,0.9765625
401.3671875,0.46875
402.0234375,0.65625
403.2890625,1.265625
403.9921875,0.703125
404.5546875,0.5625
404.9765625,0.421875
405.8203125,0.84375
407.09375,1.2734375
408.3359375,1.2421875
409.59375,1.2578125
410.0078125,0.4140625
410.7734375,0.765625
412.1015625,1.328125
413.3515625,1.25
414.2109375,0.859375
415.640625,1.4296875
416.90625,1.265625
418.1484375,1.2421875
419.4140625,1.265625
420.640625,1.2265625
421.0078125,0.3671875
422.0234375,1.015625
423.140625,1.1171875
423.53125,0.390625
424.140625,0.609375
425.4140625,1.2734375
426.65625,1.2421875
427.9296875,1.2734375
429.1796875,1.25
429.984375,0.8046875
431.46875,1.484375
432.703125,1.234375
433.921875,1.21875
435.1328125,1.2109375
435.9921875,0.859375
437.3515625,1.359375
438.5390625,1.1875
439.7734375,1.234375
440.9765625,1.203125
442,1.0234375
442.9921875,0.9921875
444.359375,1.3671875
445.640625,1.28125
446.8828125,1.2421875
447.703125,0.8203125
449.125,1.421875
450.3984375,1.2734375
450.84375,0.4453125
451.1328125,0.2890625
451.65625,0.5234375
452.84375,1.1875
453.734375,0.890625
455.1796875,1.4453125
456.4453125,1.265625
457.7109375,1.265625
458.984375,1.2734375
460.2734375,1.2890625
461.5546875,1.28125
462.8203125,1.265625
464.109375,1.2890625
465.375,1.265625
466.2578125,0.8828125
467.7734375,1.515625
469.0546875,1.28125
470.3515625,1.296875
471.15625,0.8046875
472.65625,1.5
473.953125,1.296875
475.2734375,1.3203125
476.5703125,1.296875
477.859375,1.2890625
479.15625,1.296875
480.46875,1.3125
481.6640625,1.1953125
483.015625,1.3515625
483.75,0.734375
485.1796875,1.4296875
486.4453125,1.265625
487.75,1.3046875
488.9921875,1.2421875
489.7109375,0.71875
490.265625,0.5546875
491.1328125,0.8671875
492.3984375,1.265625
493.6796875,1.28125
494.9375,1.2578125
496.2109375,1.2734375
497.0859375,0.875
498.2578125,1.171875
498.5546875,0.296875
499.0078125,0.453125
499.8203125,0.8125
501.109375,1.2890625
502.3828125,1.2734375
503.2578125,0.875
503.734375,0.4765625
504.71875,0.984375
505.984375,1.265625
507.3203125,1.3359375
508.0625,0.7421875
509.5546875,1.4921875
517.15625,7.6015625
517.546875,0.390625
518.4453125,0.8984375
518.8671875,0.421875
519.25,0.3828125
519.75,0.5
520,0.25
520.2890625,0.2890625
520.9921875,0.703125
521.2421875,0.25
521.7421875,0.5
528,6.2578125
528.7421875,0.7421875
528.9921875,0.25
529.3359375,0.34375
529.90625,0.5703125
541.5859375,11.6796875
542.203125,0.6171875
544.0625,1.859375
551.984375,7.921875
552.25,0.265625
552.6484375,0.3984375
553.515625,0.8671875
556.109375,2.59375
556.9921875,0.8828125
557.421875,0.4296875
558.015625,0.59375
559.0078125,0.9921875
563.078125,4.0703125
563.453125,0.375
563.875,0.421875
564.4765625,0.6015625
565.1796875,0.703125
565.84375,0.6640625
566.4140625,0.5703125
570.3203125,3.90625
570.6640625,0.34375
571.265625,0.6015625
571.6484375,0.3828125
572.0703125,0.421875
572.8671875,0.796875
573.421875,0.5546875
573.875,0.453125
574.5625,0.6875
575,0.4375
575.484375,0.484375
576.4140625,0.9296875
576.9921875,0.578125
577.9921875,1
578.2578125,0.265625
579.1953125,0.9375
580.09375,0.8984375
581.7265625,1.6328125
587.2734375,5.546875
587.796875,0.5234375
588.359375,0.5625
588.8671875,0.5078125
589.5703125,0.703125
589.9375,0.3671875
590.2421875,0.3046875
590.703125,0.4609375
590.9609375,0.2578125
591.359375,0.3984375
591.7265625,0.3671875
592.015625,0.2890625
592.3984375,0.3828125
592.9609375,0.5625
593.3515625,0.390625
593.8671875,0.515625
594.984375,1.1171875
595.359375,0.375
595.859375,0.5
596.390625,0.53125
596.796875,0.40625
597.1171875,0.3203125
597.5390625,0.421875
598.0859375,0.546875
598.359375,0.2734375
598.734375,0.375
599.078125,0.34375
613.1953125,14.1171875
614.0078125,0.8125
614.6015625,0.59375
615.6796875,1.078125
616.0859375,0.40625
618.8359375,2.75
622.8515625,4.015625
624.4140625,1.5625
625.203125,0.7890625
630.09375,4.890625
630.984375,0.890625
631.7578125,0.7734375
632.453125,0.6953125
633.1796875,0.7265625
635.6015625,2.421875
636.15625,0.5546875
638.4296875,2.2734375
639.515625,1.0859375
640.1015625,0.5859375
643.53125,3.4296875
644.0703125,0.5390625
644.3828125,0.3125
646.0078125,1.625
646.6484375,0.640625
647.03125,0.3828125
648.9453125,1.9140625
650.8828125,1.9375
651.7734375,0.890625
652.078125,0.3046875
652.328125,0.25
652.625,0.296875
652.9296875,0.3046875
653.2734375,0.34375
654.9609375,1.6875
660.3125,5.3515625
661.2265625,0.9140625
662.1328125,0.90625
663.0390625,0.90625
663.9453125,0.90625
664.7734375,0.828125
665.7734375,1
666.6875,0.9140625
667.46875,0.78125
667.96875,0.5
668.46875,0.5
669.484375,1.015625
670.21875,0.734375
671.3828125,1.1640625
672.34375,0.9609375
673.0859375,0.7421875
674.2578125,1.171875
675.234375,0.9765625
675.9453125,0.7109375
676.9921875,1.046875
678.0078125,1.015625
678.328125,0.3203125
678.8671875,0.5390625
679.4140625,0.546875
679.7421875,0.328125
680.0859375,0.34375
680.9140625,0.828125
681.4921875,0.578125
681.78125,0.2890625
682.296875,0.515625
682.5703125,0.2734375
683.0234375,0.453125
683.8984375,0.875
684.7109375,0.8125
685.03125,0.3203125
686.03125,1
687.265625,1.234375
687.78125,0.515625
688.0703125,0.2890625
688.4765625,0.40625
689.0078125,0.53125
689.7265625,0.71875
691.7578125,2.03125
692.1953125,0.4375
702,9.8046875
702.859375,0.859375
703.7734375,0.9140625
704.1640625,0.390625
705.9453125,1.78125
706.3515625,0.40625
706.640625,0.2890625
707.359375,0.71875
709.75,2.390625
711.0546875,1.3046875
712.3203125,1.265625
713.5625,1.2421875
714.828125,1.265625
715.328125,0.5
717.3359375,2.0078125
718.5859375,1.25
729.9765625,11.390625
730.640625,0.6640625
730.9375,0.296875
731.21875,0.28125
731.5625,0.34375
732.0234375,0.4609375
732.65625,0.6328125
733.453125,0.796875
733.75,0.296875
737.03125,3.28125
738.265625,1.234375
739.515625,1.25
740.7890625,1.2734375
741.65625,0.8671875
743.125,1.46875
744.484375,1.359375
745.6796875,1.1953125
746.3828125,0.703125
747.390625,1.0078125
747.875,0.484375
748.359375,0.484375
749,0.640625
750,1
751,1
751.5390625,0.5390625
752.03125,0.4921875
752.6484375,0.6171875
766.0234375,13.375
767.265625,1.2421875
768.5234375,1.2578125
769.75,1.2265625
771.0234375,1.2734375
771.7265625,0.703125
773.1171875,1.390625
774.375,1.2578125
775,0.625
775.6015625,0.6015625
777.046875,1.4453125
778.703125,1.65625
784.4453125,5.7421875
784.765625,0.3203125
785.0546875,0.2890625
785.3515625,0.296875
785.8671875,0.515625
786.359375,0.4921875
786.625,0.265625
786.890625,0.265625
787.890625,1
792.59375,4.703125
792.8828125,0.2890625
793.140625,0.2578125
793.421875,0.28125
793.6875,0.265625
793.9453125,0.2578125
794.46875,0.5234375
794.859375,0.390625
795.8671875,1.0078125
796.9609375,1.09375
797.4609375,0.5
798.078125,0.6171875
798.6953125,0.6171875
798.9921875,0.296875
800.0546875,1.0625
803.3203125,3.265625
804.0546875,0.734375
804.7734375,0.71875
807.75,2.9765625
808.859375,1.109375
810.6171875,1.7578125
811.125,0.5078125
811.3828125,0.2578125
811.65625,0.2734375
811.9375,0.28125
812.2734375,0.3359375
816.3515625,4.078125
818.3203125,1.96875
819.578125,1.2578125
820.2109375,0.6328125
820.484375,0.2734375
820.7890625,0.3046875
821.25,0.4609375
824,2.75
824.5546875,0.5546875
825.21875,0.6640625
826.421875,1.203125
827.4609375,1.0390625
828.8203125,1.359375
829.6875,0.8671875
831.015625,1.328125
831.328125,0.3125
831.765625,0.4375
832.8359375,1.0703125
833.21875,0.3828125
833.53125,0.3125
834.9296875,1.3984375
835.515625,0.5859375
841.265625,5.75
843.453125,2.1875
843.890625,0.4375
844.234375,0.34375
845.0625,0.828125
845.375,0.3125
845.75,0.375
846.96875,1.21875
847.640625,0.671875
848.0625,0.421875
849.0078125,0.9453125
849.3046875,0.296875
850,0.6953125
850.9921875,0.9921875
852.3203125,1.328125
852.9609375,0.640625
853.53125,0.5703125
854.0078125,0.4765625
858.3515625,4.34375
858.671875,0.3203125
859.6015625,0.9296875
871.234375,11.6328125
876.65625,5.421875
877.3046875,0.6484375
879.453125,2.1484375
884.8046875,5.3515625
885.1796875,0.375
900.015625,14.8359375
901.1640625,1.1484375
902.328125,1.1640625
903.4921875,1.1640625
904.65625,1.1640625
905.828125,1.171875
907.03125,1.203125
907.765625,0.734375
908.6640625,0.8984375
909.09375,0.4296875
909.5859375,0.4921875
909.9375,0.3515625
910.2109375,0.2734375
911.09375,0.8828125
911.9921875,0.8984375
912.8984375,0.90625
913.796875,0.8984375
914.6953125,0.8984375
915.59375,0.8984375
916.0078125,0.4140625
916.53125,0.5234375
917.4375,0.90625
918.1953125,0.7578125
919.2109375,1.015625
920.140625,0.9296875
920.859375,0.71875
921.8984375,1.0390625
922.7890625,0.890625
923.515625,0.7265625
924.546875,1.03125
925.453125,0.90625
926.2109375,0.7578125
927.234375,1.0234375
928.1484375,0.9140625
928.9140625,0.765625
929.921875,1.0078125
935.2578125,5.3359375
935.5078125,0.25
935.9453125,0.4375
937.3046875,1.359375
945.3203125,8.015625
946.265625,0.9453125
947.203125,0.9375
948.1484375,0.9453125
949.109375,0.9609375
950.078125,0.96875
951.03125,0.953125
952,0.96875
952.890625,0.890625
954,1.109375
954.9921875,0.9921875
955.9921875,1
956.9921875,1
957.984375,0.9921875
959.046875,1.0625
966.9375,7.890625
967.2265625,0.2890625
968,0.7734375
969.09375,1.09375
969.5,0.40625
971.0703125,1.5703125
972.2109375,1.140625
983.890625,11.6796875
984.15625,0.265625
984.65625,0.5
985,0.34375
993.2265625,8.2265625
994.2734375,1.046875
995.328125,1.0546875
996.3828125,1.0546875
996.921875,0.5390625
997.453125,0.53125
998.4765625,1.0234375
999,0.5234375
1000,1
1001,1
1001.609375,0.609375
1002.625,1.015625
1003.6640625,1.0390625
1004.6953125,1.03125
1005.7109375,1.015625
1006.7578125,1.046875
1007.0078125,0.25
1007.75,0.7421875
1008.7734375,1.0234375
1009.1640625,0.390625
1009.796875,0.6328125
1010.828125,1.03125
1011.84375,1.015625
1012.8515625,1.0078125
1013.8828125,1.03125
1014.890625,1.0078125
1015.875,0.984375
1016.859375,0.984375
1017.8671875,1.0078125
1018.890625,1.0234375
1019.9921875,1.1015625
1021,1.0078125
1022,1
1022.9140625,0.9140625
1023.8984375,0.984375
1024.90625,1.0078125
1026.0078125,1.1015625
1027.0234375,1.015625
1028.0078125,0.984375
1030.03125,2.0234375
1031.3984375,1.3671875
1032.765625,1.3671875
1034.1171875,1.3515625
1034.8359375,0.71875
1045.3125,10.4765625
1046.140625,0.828125
1046.484375,0.34375
1046.765625,0.28125
1047.3828125,0.6171875
1050.1484375,2.765625
1050.3984375,0.25
1050.7109375,0.3125
1051.046875,0.3359375
1051.515625,0.46875
1052.09375,0.578125
1053.03125,0.9375
1053.9921875,0.9609375
1058,4.0078125
1058.4375,0.4375
1059,0.5625
1060,1
1060.9765625,0.9765625
1065.5390625,4.5625
1067.0390625,1.5
1068.3671875,1.328125
1069.671875,1.3046875
1071.015625,1.34375
1072.0078125,0.9921875
1072.328125,0.3203125
1073.0078125,0.6796875
1073.3203125,0.3125
1073.6640625,0.34375
1074.3671875,0.703125
1075.0078125,0.640625
1075.890625,0.8828125
1076.984375,1.09375
1077.234375,0.25
1078,0.765625
1078.5703125,0.5703125
1079.8671875,1.296875
1080.5703125,0.703125
1082.0546875,1.484375
1083.375,1.3203125
1083.9921875,0.6171875
1084.6640625,0.671875
1085,0.3359375
1085.9765625,0.9765625
1086.8046875,0.828125
1088.1953125,1.390625
1089.546875,1.3515625
1090.8515625,1.3046875
1092.140625,1.2890625
1093.4296875,1.2890625
1094.3203125,0.890625
1097,2.6796875
1098,1
1099,1
1099.9921875,0.9921875
1100.4453125,0.453125
1101.8984375,1.453125
1103.0078125,1.109375
1103.875,0.8671875
1104.4609375,0.5859375
1105.7265625,1.265625
1107,1.2734375
1110.46875,3.46875
1111.7421875,1.2734375
