time,rr
4.6484375,4.40625
4.9453125,0.296875
6.546875,1.6015625
8.7421875,2.1953125
9.5234375,0.78125
11.7890625,2.265625
13.4296875,1.640625
14.484375,1.0546875
16.3125,1.828125
16.7578125,0.4453125
17.6953125,0.9375
18.1484375,0.453125
18.8984375,0.75
19.234375,0.3359375
19.84375,0.609375
20.1875,0.34375
20.765625,0.578125
21.03125,0.265625
21.6484375,0.6171875
21.984375,0.3359375
22.7734375,0.7890625
25.5625,2.7890625
43.625,18.0625
44.125,0.5
44.8515625,0.7265625
48.515625,3.6640625
50.53125,2.015625
51.015625,0.484375
51.5546875,0.5390625
52.1015625,0.546875
52.375,0.2734375
52.765625,0.390625
53.1015625,0.3359375
53.4140625,0.3125
54.1484375,0.734375
54.7421875,0.59375
55.015625,0.2734375
55.78125,0.765625
56.453125,0.671875
56.875,0.421875
57.75,0.875
58.28125,0.53125
58.625,0.34375
65.984375,7.359375
66.734375,0.75
67.1015625,0.3671875
68,0.8984375
68.8125,0.8125
69.671875,0.859375
70.703125,1.03125
71.0390625,0.3359375
71.984375,0.9453125
73.0078125,1.0234375
73.515625,0.5078125
74.1328125,0.6171875
74.921875,0.7890625
75.59375,0.671875
76.0703125,0.4765625
76.484375,0.4140625
76.9765625,0.4921875
77.6328125,0.65625
78.109375,0.4765625
78.6015625,0.4921875
79.3515625,0.75
80.4609375,1.109375
81.390625,0.9296875
81.7578125,0.3671875
82.5390625,0.78125
82.8984375,0.359375
83.171875,0.2734375
83.5234375,0.3515625
83.953125,0.4296875
85.1875,1.234375
86.109375,0.921875
86.4375,0.328125
87.09375,0.65625
87.421875,0.328125
92.578125,5.15625
101.453125,8.875
101.8125,0.359375
102.1484375,0.3359375
102.4453125,0.296875
102.8828125,0.4375
103.2421875,0.359375
103.5546875,0.3125
103.9609375,0.40625
104.3671875,0.40625
105.3046875,0.9375
108.5078125,3.203125
109.6328125,1.125
109.96875,0.3359375
110.453125,0.484375
111.3359375,0.8828125
112.7734375,1.4375
113.5859375,0.8125
114.1015625,0.515625
114.953125,0.8515625
115.546875,0.59375
116.3828125,0.8359375
116.7421875,0.359375
117.234375,0.4921875
120.2265625,2.9921875
120.6953125,0.46875
121.125,0.4296875
121.765625,0.640625
122.0546875,0.2890625
122.875,0.8203125
123.5,0.625
124.3671875,0.8671875
124.7265625,0.359375
125.921875,1.1953125
126.2734375,0.3515625
127,0.7265625
127.3515625,0.3515625
128.2890625,0.9375
129.0859375,0.796875
129.671875,0.5859375
129.984375,0.3125
130.40625,0.421875
131,0.59375
131.296875,0.296875
131.5546875,0.2578125
132.5546875,1
133.734375,1.1796875
134.25,0.515625
135.1875,0.9375
135.7265625,0.5390625
136.046875,0.3203125
136.4609375,0.4140625
137.5,1.0390625
138.21875,0.71875
139.109375,0.890625
140,0.890625
140.3671875,0.3671875
140.9609375,0.59375
141.515625,0.5546875
142.7265625,1.2109375
143.15625,0.4296875
143.46875,0.3125
144.203125,0.734375
145.28125,1.078125
145.65625,0.375
145.9140625,0.2578125
146.1953125,0.28125
146.96875,0.7734375
147.65625,0.6875
148.2265625,0.5703125
148.671875,0.4453125
149.0390625,0.3671875
149.5390625,0.5
150.2265625,0.6875
