time,rr
1,0.390625
1.734375,0.734375
1.984375,0.25
2.8046875,0.8203125
3.2578125,0.453125
3.734375,0.4765625
4.7734375,1.0390625
5.7578125,0.984375
6.7421875,0.984375
7.7421875,1
8.6875,0.9453125
9.7109375,1.0234375
10.65625,0.9453125
11.6875,1.03125
12.1171875,0.4296875
13.4765625,1.359375
14.453125,0.9765625
15.3671875,0.9140625
16.328125,0.9609375
17.2578125,0.9296875
18.25,0.9921875
19.296875,1.046875
19.875,0.578125
21.234375,1.359375
22.2265625,0.9921875
23.2421875,1.015625
24.25,1.0078125
24.6796875,0.4296875
25,0.3203125
26.0859375,1.0859375
27,0.9140625
28.953125,1.953125
29.921875,0.96875
30.84375,0.921875
32.015625,1.171875
32.796875,0.78125
33.75,0.953125
34.0078125,0.2578125
34.984375,0.9765625
35.65625,0.671875
36.0390625,0.3828125
36.3984375,0.359375
37.046875,0.6484375
38.0390625,0.9921875
38.453125,0.4140625
39.3515625,0.8984375
40.3125,0.9609375
41,0.6875
41.2734375,0.2734375
42,0.7265625
43.21875,1.21875
44.171875,0.953125
45,0.828125
46,1
47,1
48.140625,1.140625
49.109375,0.96875
50.0859375,0.9765625
51.046875,0.9609375
52.046875,1
53.1171875,1.0703125
54.0703125,0.953125
54.6171875,0.546875
55.046875,0.4296875
55.3359375,0.2890625
56.0234375,0.6875
57.03125,1.0078125
58.9140625,1.8828125
59.875,0.9609375
60.828125,0.953125
61.8125,0.984375
62.7734375,0.9609375
63.65625,0.8828125
64.5703125,0.9140625
65.5546875,0.984375
66.421875,0.8671875
67.359375,0.9375
68.265625,0.90625
69.3515625,1.0859375
70.125,0.7734375
71.09375,0.96875
72.125,1.03125
72.90625,0.78125
73.859375,0.953125
74.953125,1.09375
75.796875,0.84375
76.7109375,0.9140625
77.0078125,0.296875
77.5546875,0.546875
78.015625,0.4609375
78.6640625,0.6484375
79.0390625,0.375
79.65625,0.6171875
80,0.34375
80.671875,0.671875
80.9921875,0.3203125
81.6796875,0.6875
82,0.3203125
82.65625,0.65625
83,0.34375
83.5703125,0.5703125
