time,rr
1.65625,0.59375
2.0078125,0.3515625
2.4921875,0.484375
2.9921875,0.5
3.3203125,0.328125
4.1640625,0.84375
5.0078125,0.84375
5.8359375,0.828125
6.671875,0.8359375
7.5078125,0.8359375
8.34375,0.8359375
9.203125,0.859375
10,0.796875
10.8984375,0.8984375
11.7421875,0.84375
12.5859375,0.84375
13.4296875,0.84375
14.28125,0.8515625
15.140625,0.859375
15.9921875,0.8515625
16.84375,0.8515625
17.703125,0.859375
18.5703125,0.8671875
19.4296875,0.859375
20.2890625,0.859375
21.1640625,0.875
22.03125,0.8671875
22.8984375,0.8671875
23.7734375,0.875
24.640625,0.8671875
25.5234375,0.8828125
26.3984375,0.875
27.2734375,0.875
28.140625,0.8671875
29.015625,0.875
29.890625,0.875
30.765625,0.875
31.6484375,0.8828125
32.53125,0.8828125
33.40625,0.875
34.2890625,0.8828125
35.171875,0.8828125
36.0390625,0.8671875
36.921875,0.8828125
37.875,0.953125
38.7890625,0.9140625
39.6796875,0.890625
40.5546875,0.875
41.421875,0.8671875
42.2734375,0.8515625
43.125,0.8515625
43.9765625,0.8515625
44.828125,0.8515625
45.6875,0.859375
46.5390625,0.8515625
47.390625,0.8515625
48.2421875,0.8515625
49.1015625,0.859375
49.9609375,0.859375
50.8203125,0.859375
51.6796875,0.859375
52.546875,0.8671875
53.40625,0.859375
54.2890625,0.8828125
55.171875,0.8828125
56.0390625,0.8671875
56.9140625,0.875
57.78125,0.8671875
58.640625,0.859375
59.4921875,0.8515625
60.3359375,0.84375
61.1953125,0.859375
62.046875,0.8515625
62.8828125,0.8359375
63.7265625,0.84375
64.578125,0.8515625
65.421875,0.84375
66.2578125,0.8359375
67.109375,0.8515625
67.96875,0.859375
68.8203125,0.8515625
69.671875,0.8515625
70.5234375,0.8515625
71.375,0.8515625
72.234375,0.859375
73.09375,0.859375
73.9453125,0.8515625
74.8046875,0.859375
75.6640625,0.859375
76.515625,0.8515625
77.375,0.859375
78.234375,0.859375
79.109375,0.875
79.9765625,0.8671875
80.84375,0.8671875
81.71875,0.875
82.5859375,0.8671875
83.453125,0.8671875
84.3203125,0.8671875
85.203125,0.8828125
86.09375,0.890625
86.9765625,0.8828125
87.84375,0.8671875
88.7109375,0.8671875
89.5859375,0.875
90.453125,0.8671875
91.34375,0.890625
92.1015625,0.7578125
92.9765625,0.875
93.8515625,0.875
94.7265625,0.875
95.609375,0.8828125
96.484375,0.875
97.375,0.890625
98.265625,0.890625
99.140625,0.875
100.0234375,0.8828125
100.90625,0.8828125
101.6796875,0.7734375
102.5625,0.8828125
103.453125,0.890625
104.3359375,0.8828125
105.21875,0.8828125
106.109375,0.890625
107,0.890625
107.890625,0.890625
108.7734375,0.8828125
109.6484375,0.875
110.5546875,0.90625
111.453125,0.8984375
112.3359375,0.8828125
113.2265625,0.890625
114.125,0.8984375
115.0078125,0.8828125
115.9140625,0.90625
116.8046875,0.890625
117.6875,0.8828125
118.578125,0.890625
119.4609375,0.8828125
120.359375,0.8984375
121.2421875,0.8828125
122.1328125,0.890625
123.03125,0.8984375
123.9140625,0.8828125
124.796875,0.8828125
125.6796875,0.8828125
126.5625,0.8828125
127.4453125,0.8828125
