time,rr
0.421875,0.3203125
1.2109375,0.7890625
2,0.7890625
3,1
4,1
5,1
6,1
9.9921875,3.9921875
11.0078125,1.015625
13.0078125,2
14.0078125,1
15.59375,1.5859375
16,0.40625
16.984375,0.984375
18,1.015625
18.296875,0.296875
19,0.703125
19.6328125,0.6328125
20.9609375,1.328125
22.296875,1.3359375
23.5625,1.265625
24.875,1.3125
26.1796875,1.3046875
27.453125,1.2734375
28.7734375,1.3203125
29.6953125,0.921875
31.0234375,1.328125
32.3203125,1.296875
33.5546875,1.234375
34.515625,0.9609375
35.8828125,1.3671875
37.21875,1.3359375
38.4140625,1.1953125
39.6171875,1.203125
40.9296875,1.3125
42.1953125,1.265625
43.4921875,1.296875
44.3828125,0.890625
45.7578125,1.375
47.1015625,1.34375
48.3828125,1.28125
49.6328125,1.25
50.921875,1.2890625
52.203125,1.28125
53.484375,1.28125
54.765625,1.28125
56.015625,1.25
57.3046875,1.2890625
58.5625,1.2578125
59.4609375,0.8984375
60.9296875,1.46875
62.265625,1.3359375
63.625,1.359375
64.9296875,1.3046875
66.234375,1.3046875
67.1171875,0.8828125
68.4921875,1.375
69.7421875,1.25
71.046875,1.3046875
72.328125,1.28125
73.28125,0.953125
74.671875,1.390625
75.9375,1.265625
77.2734375,1.3359375
78.5546875,1.28125
79.7265625,1.171875
81.0625,1.3359375
82.3515625,1.2890625
83.6328125,1.28125
84.90625,1.2734375
85.734375,0.828125
87.078125,1.34375
88.390625,1.3125
89.6875,1.296875
91,1.3125
92.328125,1.328125
93.640625,1.3125
94.578125,0.9375
95.9375,1.359375
97.234375,1.296875
98.5234375,1.2890625
99.8203125,1.296875
100.7109375,0.890625
102.0859375,1.375
103.3828125,1.296875
104.625,1.2421875
105.859375,1.234375
106.8359375,0.9765625
108.1953125,1.359375
109.5078125,1.3125
110.7734375,1.265625
112.0390625,1.265625
113.328125,1.2890625
114.3046875,0.9765625
115.625,1.3203125
116.921875,1.296875
118.203125,1.28125
119.5,1.296875
120.7265625,1.2265625
122.0078125,1.28125
123.25,1.2421875
124.53125,1.28125
125.4375,0.90625
126.859375,1.421875
128.1484375,1.2890625
129.3984375,1.25
130.6171875,1.21875
131.75,1.1328125
133.0859375,1.3359375
134.390625,1.3046875
135.703125,1.3125
136.984375,1.28125
138.3125,1.328125
139.6171875,1.3046875
140.9140625,1.296875
142.1015625,1.1875
143.3515625,1.25
144.6484375,1.296875
145.9375,1.2890625
146.8203125,0.8828125
148.2109375,1.390625
149.53125,1.3203125
150.8515625,1.3203125
152.1875,1.3359375
153.0390625,0.8515625
154.421875,1.3828125
155.7890625,1.3671875
157.15625,1.3671875
158.4765625,1.3203125
159.859375,1.3828125
161.203125,1.34375
162.109375,0.90625
163.53125,1.421875
164.875,1.34375
166.1640625,1.2890625
167.4921875,1.328125
168.3359375,0.84375
169.71875,1.3828125
171.09375,1.375
172.4296875,1.3359375
173.75,1.3203125
175.0859375,1.3359375
175.9375,0.8515625
177.3828125,1.4453125
178.703125,1.3203125
180.03125,1.328125
181.3828125,1.3515625
182.6953125,1.3125
183.5546875,0.859375
184.9375,1.3828125
186.3046875,1.3671875
187.640625,1.3359375
188.953125,1.3125
190.296875,1.34375
191.6171875,1.3203125
192.53125,0.9140625
193.9296875,1.3984375
195.296875,1.3671875
196.6328125,1.3359375
197.96875,1.3359375
199.3046875,1.3359375
200.6328125,1.328125
201.9296875,1.296875
203.2578125,1.328125
204.5390625,1.28125
205.828125,1.2890625
207.140625,1.3125
208.71875,1.578125
210.0546875,1.3359375
211.3828125,1.328125
212.2109375,0.828125
213.6171875,1.40625
214.9375,1.3203125
216.125,1.1875
217.3359375,1.2109375
218.5625,1.2265625
219.875,1.3125
221.1328125,1.2578125
222.046875,0.9140625
223.4375,1.390625
224.65625,1.21875
225.96875,1.3125
227.2421875,1.2734375
228.5703125,1.328125
229.484375,0.9140625
230.796875,1.3125
232.0078125,1.2109375
233.171875,1.1640625
234.390625,1.21875
235.515625,1.125
236.6640625,1.1484375
237.9375,1.2734375
239.171875,1.234375
240.328125,1.15625
241.4921875,1.1640625
242.7265625,1.234375
243.9921875,1.265625
245.25,1.2578125
246.203125,0.953125
247.6171875,1.4140625
248.953125,1.3359375
250.265625,1.3125
251.5859375,1.3203125
252.8671875,1.28125
254.15625,1.2890625
255.09375,0.9375
256.4609375,1.3671875
257.78125,1.3203125
259.1015625,1.3203125
260.4453125,1.34375
261.7421875,1.296875
262.6484375,0.90625
264.046875,1.3984375
265.296875,1.25
266.65625,1.359375
267.9375,1.28125
269.1640625,1.2265625
270.171875,1.0078125
271.5078125,1.3359375
272.8515625,1.34375
274.140625,1.2890625
275.421875,1.28125
276.65625,1.234375
277.9140625,1.2578125
279.1796875,1.265625
280.4140625,1.234375
281.671875,1.2578125
282.875,1.203125
284.140625,1.265625
285.375,1.234375
286.390625,1.015625
287.734375,1.34375
289.078125,1.34375
290.25,1.171875
291.125,0.875
292.484375,1.359375
293.71875,1.234375
294.96875,1.25
296.2578125,1.2890625
297.484375,1.2265625
298.6796875,1.1953125
299.9609375,1.28125
301.1796875,1.21875
302.1015625,0.921875
303.484375,1.3828125
304.71875,1.234375
305.984375,1.265625
307.2109375,1.2265625
308.5234375,1.3125
309.78125,1.2578125
311.0546875,1.2734375
312.28125,1.2265625
313.1484375,0.8671875
314.5,1.3515625
315.8125,1.3125
317.1328125,1.3203125
318.3984375,1.265625
319.640625,1.2421875
320.671875,1.03125
